Criation_Time, Product, Quantity, Client, Order_id, Status, Notes-fornecedor
5333,2001,68819,1,2005276,0,2
5333,3001,499478,2,3005303,0,3
5334,1001,11348,0,1005334,0,1
5334,2001,68923,1,2005277,0,2
5334,3001,499684,2,3005304,0,3
5335,1001,11304,0,1005335,0,1
5335,2001,69014,1,2005278,0,2
5335,3001,499921,2,3005305,0,3
5336,1001,11253,0,1005336,0,1
5336,2001,69090,1,2005279,0,2
5336,3001,500172,2,3005306,0,3
5337,1001,11308,0,1005337,0,1
5337,2001,69168,1,2005280,0,2
5337,3001,500431,2,3005307,0,3
5338,1001,11232,0,1005338,0,1
5338,2001,69249,1,2005281,0,2
5338,3001,500704,2,3005308,0,3
5339,1001,11222,0,1005339,0,1
5339,2001,69328,1,2005282,0,2
5339,3001,501000,2,3005309,0,3
5340,1001,11210,0,1005340,0,1
5340,2001,69413,1,2005283,0,2
5340,3001,501318,2,3005310,0,3
5341,1001,11213,0,1005341,0,1
5341,2001,69486,1,2005284,0,2
5341,3001,501658,2,3005311,0,3
5342,1001,11318,0,1005342,0,1
5342,2001,69585,1,2005285,0,2
5342,3001,502028,2,3005312,0,3
5343,1001,11280,0,1005343,0,1
5343,2001,69665,1,2005286,0,2
5343,3001,502426,2,3005313,0,3
5344,1001,11200,0,1005344,0,1
5344,2001,69731,1,2005287,0,2
5344,3001,502847,2,3005314,0,3
5345,1001,11213,0,1005345,0,1
5345,2001,69814,1,2005288,0,2
5345,3001,503297,2,3005315,0,3
5346,1001,11284,0,1005346,0,1
5346,2001,69903,1,2005289,0,2
5346,3001,503768,2,3005316,0,3
5347,1001,11198,0,1005347,0,1
5347,2001,69974,1,2005290,0,2
5347,3001,504254,2,3005317,0,3
5348,1001,11200,0,1005348,0,1
5348,2001,70022,1,2005291,0,2
5348,3001,504740,2,3005318,0,3
5349,1001,11286,0,1005349,0,1
5349,2001,70089,1,2005292,0,2
5349,3001,505240,2,3005319,0,3
